week,word,pos,clue
Week 1,abate,verb,減輕 / 減弱 / 緩和 / 減少 / 平息 / pain 減輕 / wind 減弱 / anger 緩和 / 平息
Week 1,antibiotic,noun,抗生素
Week 1,argon,noun,氬 / 氬氣
Week 1,copious,adjective,大量的 / 豐富的 / 充足的 / 滔滔不絕的 / 大量的流出
Week 1,counteract,verb,抵消 / 抵銷 / 對抗 / 中和 / 抵消／中和
Week 1,en,preposition,以 / 成為 / 處於…狀態
Week 1,evaporate,verb,蒸發 / 揮發 / 逐漸消失 / 煙消雲散 / 消失 / 化為烏有
Week 1,expendable,adjective,可犧牲的 / 可拋棄的 / 無關緊要、可以捨棄的 / 可消耗的
Week 1,expend,verb,花費 / 耗費 / 消耗 / 付出
Week 1,filter,noun,濾器 / 過濾器 / 濾網 / 篩選機制 / 過濾條件 / 篩選 / 篩選功能／篩選條件／過濾機制
Week 1,gunk,noun,黏污 / 黏糊糊的髒東西 / 油垢 / 污泥 / 廢話 / 胡扯
Week 1,ion,noun,離子 / 正離子 / 負離子
Week 1,irrigate,verb,灌溉 / 澆灌
Week 1,kilogram,noun,公斤 / 千克
Week 1,mode,noun,模式 / 方式 / 狀態 / 流行 / 風尚 / 模式 / 方式 / 狀態 / 流行 / 風尚
Week 1,nitrogen,noun,氮 / 氮氣 / 液態氮 / 液氮
Week 1,orbital,adjective,軌道的 / 繞軌道運行的 / 眼窩的 / 眼眶的 / 眼窩骨
Week 1,pelvis,noun,骨盆
Week 1,profound,adjective,深刻的 / 深遠的 / 深奧的 / 極大的 / 強烈的
Week 1,readout,noun,讀數 / 顯示值 / 讀出資料 / 顯示資料 / 宣讀結果 / 簡報式公布內容
Week 1,regale,verb,盛情款待 / 熱情款待 / 供應飲食 / 讓……聽得很開心 / 使……大飽口福／大飽耳福 / 用食物飲料盛情招待 / 盛情款待、供應飲食 / 用故事、笑話等使人愉快 / 讓……聽得很開心、把……逗得很開心
Week 1,relay,verb,轉達 / 轉傳 / 傳送 / 接力傳遞 / 接棒傳遞
Week 1,residue,noun,殘留物 / 殘渣 / 殘餘物 / 剩餘部分 / 殘留物、殘渣、殘餘物 / 剩餘部分、殘餘
Week 1,sandblast,verb,噴砂 / 噴砂清理 / 噴砂除鏽 / 噴砂粗化 / 噴砂清理 / 噴砂除鏽
Week 1,sentimentality,noun,多愁善感 / 感情用事 / 濫情 / 傷感主義
Week 1,spaceship,noun,太空船 / 宇宙飛船 / 太空飛行器
Week 2,torque,noun,扭力 / 轉矩 / 扭矩
Week 2,torrent,noun,急流 / 奔流 / 滂沱大雨 / 傾盆大雨 / 大量湧現 / 連串
Week 2,valve,noun,閥 / 閥門 / 活門 / 瓣膜
Week 2,yay,interjection,耶 / 太好了 / 好耶
Week 2,absorb,verb,吸收 / 吸進 / 吸收（資訊／知識） / 理解 / 消化
Week 2,bacterium,noun,細菌 / 一個細菌
Week 2,botanist,noun,植物學家
Week 2,botany,noun,植物學
Week 2,calorie,noun,卡路里 / 大卡 / 卡
Week 2,crater,noun,坑洞 / 隕石坑 / 月坑 / 火山口 / 彈坑 / 月坑 / 隕石坑 / 坑洞 / 彈坑
Week 2,crewmember,noun,組員 / 船員 / 機組員 / 太空船組員 / 太空人 / 工作人員
Week 2,cubic,adjective,立方的 / 立方體的
Week 2,diagnostic,adjective,診斷的 / 診斷用的 / 診斷性指標的 / 檢測問題的
Week 2,endeavor,noun,努力 / 奮鬥 / 嘗試 / 試圖
Week 2,external,adjective,外部的 / 外面的 / 外來的 / 對外的 / 體外的 / 外在因素 / internal = 內部的／內在的
Week 2,fertile,adjective,肥沃的 / 多產的 / 富有創造力的 / 豐富的
Week 2,half-buried,adjective,半埋著的 / 半掩埋的 / 埋了一半的
Week 2,liter,noun,公升 / 升
Week 2,manure,noun,糞肥 / 農家肥 / 動物糞便 / 肥料
Week 2,mineral,noun,礦物 / 礦物質
Week 2,nutritional,adjective,營養的 / 營養方面的 / 有營養價值的
Week 2,paltry,adjective,微不足道的 / 少得可憐的 / 可憐的 / 寒酸的
Week 2,render,verb,使得 / 使…變得… / 使成為 / 給予 / 提供 / 呈現 / 描繪 / 刻畫 / 正式提供、給出 / 使變成 / 描繪、呈現
Week 2,saturate,verb,浸透 / 滲透 / 使飽和 / 充滿 / 使飽和 / 充滿
Week 2,scuff,verb,磨損 / 擦傷 / 磨擦出痕跡 / 拖著腳走 / 蹭著腳走
Week 3,solely,adverb,僅僅 / 完全地 / 單獨地 / 純粹只
Week 3,thruster,noun,推進器 / 推力器 / 側向推進器
Week 3,tinfoil,noun,鋁箔紙 / 錫箔紙 / 錫箔
Week 3,viable,adjective,可行的 / 行得通的 / 可存活的 / 能生存的 / 可存活的 / 能生存的
Week 3,vitamin,noun,維他命 / 維生素
Week 3,farmland,noun,農地 / 耕地 / 農田
Week 3,generate,verb,產生 / 生成 / 製造 / 造成
Week 3,liberate,verb,解放 / 使自由 / 釋放 / 救出
Week 3,productive,adjective,多產的 / 有成效的 / 有生產力的 / 富饒的
Week 3,refrigerate,verb,冷藏 / 放進冰箱冷藏 / 冷卻 / 製冷 / 冷卻 / 製冷
Week 3,usefulness,noun,實用性 / 有用性 / 效用 / 用途
Week 3,aperture,noun,孔口 / 孔徑 / 開口 / 光圈 / 孔口 / 開口 / 孔徑
Week 3,chug,verb,大口灌下 / 咕嚕咕嚕地喝 / 一口氣喝下 / 噗噗地前進 / 轟隆轟隆地行進
Week 3,condensation,noun,凝結 / 冷凝 / 凝結水珠 / 冷凝水 / 摘要 / 濃縮版
Week 3,discharge,verb,排出 / 排放 / 釋放 / 放電 / 發射 / 開火 / 准許…出院 / 讓…退伍 / 解除…職務 / 履行 / 排出、排放、釋放、放電 / 發射、開火 / 出院、退伍、解除職務
Week 3,duct,noun,導管 / 管道 / 導管 / 管道 / 淚管 / 膽管
Week 3,geologist,noun,地質學家
Week 3,half-empty,adjective,半空的 / 半滿半空的 / 只剩一半的
Week 3,hefty,adjective,沉重的 / 厚重的 / 龐大的 / 可觀的 / 分量十足的 / 高額的
Week 3,output,noun,產出 / 產量 / 輸出
Week 3,plier,noun,鉗子 / 老虎鉗 / 尖嘴鉗
Week 3,surplus,noun,剩餘 / 盈餘 / 過剩物資 / 餘額 / 剩餘 / 盈餘
Week 3,vandalize,verb,蓄意破壞 / 惡意破壞 / 毀損 / 亂塗亂畫破壞
Week 3,voltage,noun,電壓
