week,word,pos,clue
Week 1,contaminate,verb,污染 / 汙染 / 感染 / 沾染 / 玷污
Week 1,devil,noun,惡魔 / 魔鬼 / 撒旦 / 惡棍 / 壞蛋 / 小搗蛋 / 小鬼頭
Week 1,leathery,adjective,像皮革的 / 皮革般的 / 粗硬的 / 粗硬起皺的
Week 1,spawn,verb,產卵 / 下卵 / 引發 / 產生 / 催生 / 卵
Week 1,sulfur,noun,硫 / 硫磺
Week 1,upstate,adverb,在州的北部 / 在州北部地區 / 在外州郊地區州內較偏遠地區 / 到城外在城外地區
Week 1,vaporize,verb,使汽化 / 汽化 / 蒸發 / 突然消失 / 化為烏有 / 徹底摧毀
Week 1,vitally,adverb,極其 / 極為 / 至關重要地 / 與生命攸關地 / 生死攸關地
Week 1,wheelchair,noun,輪椅
Week 1,dashboard,noun,儀表板 / 控制台 / 資訊看板 / 儀表台
Week 1,discourage,verb,使氣餒 / 使洩氣 / 打擊的信心 / 勸阻 / 阻止
Week 1,feverish,adjective,發燒的 / 發熱的 / 狂熱的 / 激動的
Week 1,fruit,noun,水果 / 果實 / 成果 / 結果
Week 1,greyhound,noun,靈 / 靈緹 / 灰狗犬種 / 長途巴士
Week 1,hallucinate,verb,產生幻覺 / 出現幻覺 / 看見幻象 / 幻聽幻視
Week 1,ignorance,noun,無知 / 不知情 / 缺乏了解
Week 1,kindly,adverb,親切地 / 和善地 / 仁慈地 / 請 / 請務必
Week 1,knit,verb,編織 / 打毛線 / 織 / 緊密結合 / 使緊皺
Week 1,mature,adjective,成熟的 / 長大的 / 穩重的 / 成人的限成人的 / 熟的
Week 1,overstress,verb,過分強調 / 過度強調 / 使過度緊張 / 使負荷過重 / 使過度勞累
Week 1,pointer,noun,指針 / 指標 / 提示 / 指示器 / 波音達獵犬
Week 2,snip,verb,剪一下 / 剪斷 / 修剪 / 剪下的小片 / 小剪口
Week 2,three-hour,adjective,三小時的 / 歷時三小時的
Week 2,tornado,noun,龍捲風 / 龍捲
Week 2,yarn,noun,紗線 / 毛線 / 線 / 故事 / 瞎扯
Week 2,beeline,noun,直線路線 / 最短路線 / 直奔 / 直衝
Week 2,bladder,noun,膀胱
Week 2,detect,verb,發現 / 察覺 / 偵測 / 檢測出
Week 2,disorder,noun,混亂 / 雜亂 / 失調 / 障礙 / 病症
Week 2,electronics,noun,電子學 / 電子產品 / 電子設備 / 電子器材
Week 2,evenly,adverb,均勻地 / 平均地 / 平穩地 / 規律地
Week 2,hallucination,noun,幻覺 / 幻象 / 妄想
Week 2,marshmallow,noun,棉花糖 / 軟弱的人 / 心很軟的人
Week 2,muscular,adjective,肌肉發達的 / 結實的 / 肌肉的
Week 2,restroom,noun,洗手間 / 廁所 / 化妝室 / 盥洗室
