week,word,pos,clue
Week 1,anomaly,noun,異常現象 / 異常 / 反常情況 / 例外
Week 1,cardigan,noun,開襟毛衣 / 對襟毛衣 / 羊毛開襟衫
Week 1,curfew,noun,宵禁 / 晚歸時間限制 / 宵禁鐘 / 宵禁信號
Week 1,entity,noun,實體 / 個體 / 存在體 / 機構 / 法人單位
Week 1,goodnight,interjection,晚安 / 天啊 / 我的天哪
Week 1,gruesome,adjective,可怕的 / 令人毛骨悚然的 / 駭人的 / 血腥可怕的
Week 1,licence,noun,執照 / 許可證 / 許可 / 自由
Week 1,policy,noun,政策 / 規定 / 方針 / 處事原則 / 保單
Week 1,rapier,noun,細劍 / 刺劍
Week 2,residual,adjective,殘留的 / 剩餘的 / 殘餘的 / 剩餘的 / 殘餘的
Week 2,sheen,noun,光澤 / 亮澤 / 油光 / 薄光 / 表面光彩
Week 2,speculate,verb,推測 / 猜測 / 臆測 / 投機 / 投機炒作
Week 2,unblemished,adjective,無瑕的 / 潔白無瑕的 / 毫無污點的 / 完美無缺的
Week 2,aural,adjective,聽覺的 / 聲音的 / 口語的／口頭的
Week 2,duffel,noun,粗呢布 / 圓筒旅行袋 / 行軍袋 / 運動袋
Week 2,filing,noun,歸檔 / 整理文件 / 存檔 / 銼磨
Week 2,formless,adjective,無形的 / 沒有固定形狀的 / 無定形的
Week 3,illumination,noun,照明 / 亮光 / 光亮 / 燈光 / 闡釋 / 啟發 / 說明
Week 3,insistent,adjective,堅持的 / 執意的 / 一再要求的
Week 3,kettle,noun,水壺 / 茶壺 / 熱水壺 / 燒水壺
Week 3,malevolent,adjective,惡意的 / 心懷惡意的 / 邪惡的
Week 3,motive,noun,動機 / 原因 / 動力
Week 3,plume,noun,羽毛 / 羽飾 / 長羽毛 / 羽狀煙柱 / 煙柱 / 水柱 / 羽狀雲團 / 羽狀煙霧
Week 3,prise,verb,撬開 / 撬下 / 硬掰開 / 扳開 / 拔出 / 弄開
Week 3,refold,verb,重新摺好 / 再摺一次 / 重新折疊
Week 4,unwelcome,adjective,不受歡迎的 / 不被歡迎的 / 令人不快的 / 討厭的 / 惱人的
Week 4,agitation,noun,焦躁不安 / 激動不安 / 不安 / 攪動 / 振盪 / 焦躁不安、激動不安 / 攪動、振盪
Week 4,annoyance,noun,惱怒 / 煩惱 / 煩人的事 / 討厭的人或事 / 惱怒／不耐煩
Week 4,chaotic,adjective,混亂的 / 亂成一團的 / 毫無秩序的 / 失控的
Week 4,coo,verb,咕咕叫 / 咕咕聲叫著 / 柔聲細語 / 輕聲哄著說
Week 4,crowbar,noun,撬棍 / 鐵撬 / 撬開 / 硬撬開
Week 4,desolate,adjective,荒涼的 / 荒蕪的 / 淒涼的 / 孤寂的 / 孤單無助的
Week 4,domestic,adjective,家庭的 / 家用的 / 家務的 / 國內的 / 本國的 / 馴養的 / 家庭的 / 家用的 / 家務的 / 國內的 / 本國的
Week 4,faceless,adjective,匿名的 / 無名的 / 沒有特徵的 / 沒有個性的 / 無法究責的
Week 5,frigid,adjective,極冷的 / 寒冷的 / 冷淡的 / 冷若冰霜的 / 冷淡的、冷若冰霜的
Week 5,hazy,adjective,朦朧的 / 有霧的 / 霧濛濛的 / 模糊的 / 不清楚的 / 看得不清楚的 / 想得不清楚的
Week 5,isle,noun,小島 / 島嶼 / 島
Week 5,light-hearted,adjective,輕鬆愉快的 / 輕快的 / 無憂無慮的 / 輕鬆幽默的
Week 5,parameter,noun,參數 / 設定值 / 限制因素 / 範圍 / 參數 / 設定值 / limits or boundaries / 限制因素、範圍
Week 5,sec,noun,"秒 / 一秒 / 一會兒 / 一下 / 一會兒, 一下"
Week 5,semicircle,noun,半圓 / 半圓形 / 半圓弧形排列
Week 5,traumatic,adjective,創傷性的 / 造成心理創傷的 / 外傷性的 / 造成外傷的
Week 6,amid,preposition,在……之中 / 在……當中
Week 6,brightness,noun,亮度 / 明亮度 / 明亮 / 開朗 / 聰慧 / 聰明才智 / 開朗、明朗 / 聰慧、聰明才智
Week 6,cavity,noun,蛀洞 / 蛀牙 / 空腔 / 腔 / 孔洞 / 空腔 / 孔洞
Week 6,cobweb,noun,蜘蛛網 / 塵封的蜘蛛網
Week 6,gust,noun,陣風 / 一陣 / 一股
Week 6,minimum,noun,最低限度 / 最低量 / 最小值 / 下限 / 最低標準 / 最低限度／最低標準／下限
Week 6,neutralize,verb,中和 / 使中立 / 使失效 / 化解 / 壓制
Week 6,organic,adjective,有機的 / 有機栽培的 / 有生命體相關的 / 有機體的 / 器官的 / 自然形成的
