week,word,pos,clue
Week 1,anywhere,adverb,任何地方 / 隨便哪裡 / 哪裡都
Week 1,boa,noun,蟒蛇 / 紅尾蚺 / 羽毛圍巾 / 羽毛披巾 / 蛇義：蟒蛇 / 服飾義：羽毛圍巾 / 羽毛披巾
Week 1,chauffeur,noun,司機 / 受雇司機 / 專職司機 / 駕駛員 / 開車接送
Week 1,feather,noun,羽毛 / 羽 / 絨毛
Week 1,limo,noun,豪華轎車 / 禮車 / 加長型禮車
Week 1,san,noun,先生 / 女士 / 小姐 / 日文敬稱「～先生／～女士」
Week 1,sludge,noun,污泥 / 爛泥 / 油泥 / 殘渣
Week 1,stranger,noun,陌生人 / 不認識的人 / 外地人 / 局外人 / 新來的人 / 外地人 / 局外人 / 新來的人
Week 1,travel,verb,旅行 / 出遊 / 行進 / 傳播 / 移動
Week 1,uniform,noun,制服 / 校服 / 隊服
Week 1,bridge,noun,橋 / 橋牌 / 牙橋 / 橋梁
Week 1,gate,noun,大門 / 柵門 / 閘門 / 登機門 / 入口關卡 / 閘口
Week 1,golden,adjective,金色的 / 金黃的 / 黃澄澄的 / 極好的 / 寶貴的 / 美好的
Week 1,joke,noun,笑話 / 玩笑 / 兒戲 / 笑柄
Week 1,making,noun,製作 / 製造 / 形成 / 素質 / 潛力 / 條件
Week 1,seashell,noun,貝殼 / 海貝殼
Week 1,telephone,noun,電話 / 電話機 / 電話（通話） / 電話 / 電話機 / 電話 / 通話 / 來電
Week 1,assistant,noun,助理 / 助手 / 店員助理 / 教學助理 / 研究助理
Week 1,eighteen,number,十八 / 十八歲 / 十八個
Week 1,eleven,number,十一
Week 1,machine,noun,機器 / 機械 / 體制 / 組織機器 / 機器 / 機械 / 宣傳機器、政治機器
Week 1,moan,verb,呻吟 / 哀號 / 抱怨 / 哼哼唉唉地說
Week 1,pancake,noun,鬆餅 / 薄煎餅 / 煎餅
Week 1,specific,adjective,具體的 / 明確的 / 特定的
Week 1,twenty-one,number,二十一
Week 1,twenty-two,number,二十二
Week 2,menu,noun,菜單 / 餐單 / 選單 / 功能選單
Week 2,perfect,adjective,完美的 / 十全十美的 / 最適合的 / 再好不過的
Week 2,waiter,noun,男服務生 / 服務生 / 男侍者
Week 2,ant,noun,螞蟻
Week 2,icky,adjective,噁心的 / 髒兮兮的 / 黏答答的 / 討厭的
Week 2,mad,adjective,生氣的 / 氣瘋了的 / 非常生氣的 / 瘋的 / 瘋狂的 / 精神失常的 / 對……著迷的 / 迷戀……的 / 精神失常的 / 瘋狂的
Week 2,mess,noun,凌亂 / 混亂 / 髒亂 / 一團亂 / 爛攤子 / 麻煩局面
Week 2,scoop,noun,勺子 / 杓子 / 一杓 / 一勺 / 冰淇淋杓
Week 2,search,verb,尋找 / 搜尋 / 搜查 / 翻找 / 尋找 / 搜尋
Week 2,serve,verb,服務 / 供應 / 端上 / 為……工作 / 效力 / 服役 / 充當 / 作為……使用 / 發球 / 供應 / 端上 / 服務 / 服務 / 效力 / 服役
Week 2,smart,adjective,聰明的 / 機靈的 / 精明的 / 時髦的 / 俐落的 / 刺痛的
Week 2,stew,noun,燉菜 / 燉煮料理 / 燉肉 / 焦慮 / 心煩意亂
Week 2,syrup,noun,糖漿 / 果糖漿 / 藥水糖漿
Week 2,wrap,verb,包 / 包裹 / 裹 / 纏
Week 2,freezer,noun,冷凍庫 / 冰櫃 / 冷凍室
Week 2,slide,verb,滑動 / 滑行 / 滑下 / 溜進 / 滑倒 / 投影片
Week 2,take-out,noun,外帶 / 外帶餐點 / 外帶食物
Week 2,twelve,number,十二 / 十二個
Week 2,big-city,adjective,大城市的 / 都市的 / 大都會的
Week 2,business,noun,生意 / 商業 / 公司 / 企業 / 事情 / 要務 / 職責／分內事 / 關你的事／關我的事
Week 2,mail,noun,郵件 / 信件 / 郵遞 / 郵政郵件 / 電子郵件 / 郵件 / 信件
Week 2,aisle,noun,走道 / 通道 / 貨架間走道
Week 2,city,noun,城市 / 都市
Week 2,cookbook,noun,食譜書 / 食譜 / 烹飪書 / 實用指南
Week 2,exact,adjective,確切的 / 精確的 / 準確的 / 一模一樣的
Week 3,peer,noun,同儕 / 同輩 / 同齡人 / 同學
Week 3,positive,adjective,正面的 / 樂觀的 / 肯定的 / 確定的 / 正的 / 陽性的 / 正電的 / 正面的 / 樂觀的 / 肯定的 / 確定的 / 陽性的 / 正電的
Week 3,return,verb,返回 / 回來 / 回去 / 歸還 / 還給 / 帶回
Week 3,science,noun,科學 / 理科 / 自然科學
Week 3,section,noun,部分 / 段落 / 區段 / 區域 / 欄 / 欄目 / 科 / 組 / 班 / 科、組、班、部門
Week 3,wag,verb,搖擺 / 搖動 / 擺動 / 搖尾巴 / 愛開玩笑的人
Week 3,whoever,pronoun,無論誰 / 不管是誰 / 任何…的人 / 誰……都
Week 3,enjoy,verb,喜歡 / 享受 / 樂於
Week 3,hopeless,adjective,絕望的 / 沒有希望的 / 無望的 / 糟透了的 / 完全不行的 / 絕望的 / 無望的 / 糟透了的 / 完全不行的
Week 3,possibly,adverb,可能 / 也許 / 或許 / 說不定
Week 3,classroom,noun,教室
Week 3,echo,verb,回響 / 迴盪 / 呼應 / 重複
Week 3,entire,adjective,整個的 / 全部的 / 整體的
Week 3,flinch,verb,退縮 / 畏縮 / 縮一下 / 瑟縮
Week 3,grade,noun,年級 / 成績 / 等級 / 坡度
Week 3,high-five,noun,擊掌 / 慶祝擊掌 / 拍手擊掌動作
Week 3,jar,noun,罐子 / 玻璃罐 / 廣口瓶
Week 3,knuckle,noun,指關節 / 指節 / 關節處
Week 3,muscle,noun,肌肉 / 力量 / 體力 / 武力 / 實力 / 力量 / 實力 / 武力
Week 3,nutrition,noun,營養 / 營養攝取 / 營養學 / 養分補給
Week 3,pat,verb,輕拍 / 拍一拍 / 撫拍
Week 3,primary,adjective,主要的 / 首要的 / 初級的 / 小學的 / 國小的 / 小學／國小 / 主要的／首要的
Week 3,punch,verb,用拳打 / 揍 / 猛打 / 打孔 / 穿孔 / 拳打
Week 3,rib,noun,肋骨 / 排骨 / 取笑 / 開玩笑地嘲弄
Week 3,someday,adverb,總有一天 / 有一天 / 將來有一天
Week 4,spanish,adjective,西班牙的 / 西班牙人 的 / 西班牙語的 / 西班牙語
Week 4,sting,verb,刺痛 / 叮 / 螫 / 刺傷 / 刺痛（心裡）
Week 4,supreme,adjective,最高的 / 至高的 / 至上的 / 最大的 / 最高的 / 至高的 / 至上的 / 最大的
Week 4,war,noun,戰爭 / 戰事 / 交戰
Week 4,announcement,noun,公告 / 宣布 / 通知
Week 4,complain,verb,抱怨 / 埋怨 / 投訴 / 訴苦
Week 4,detail,noun,細節 / 詳情 / 詳細資料 / 細項 / 詳情 / 詳細資料
Week 4,fist,noun,拳頭 / 拳
Week 4,freak,noun,怪人 / 怪胎 / 畸形者
Week 4,grown-up,noun,大人 / 成年人 / 成人 / 成熟的人
Week 4,secretly,adverb,偷偷地 / 暗中 / 私下地 / 心裡暗自
Week 4,stare,verb,盯著看 / 凝視 / 瞪著看 / 注視
Week 4,study,verb,學習 / 讀書 / 念書 / 研讀 / 研究 / 仔細察看
Week 4,usually,adverb,通常 / 平常 / 一般來說 / 多半
Week 4,vacation,noun,假期 / 度假 / 假日
