week,word,pos,clue
Week 1,sixteen-year-old,adjective,十六歲的 / 年僅十六歲的
Week 1,typical,adjective,典型的 / 一貫的 / 慣常的 / 老樣子
Week 1,carpenter,noun,木匠 / 木工
Week 1,continent,noun,洲 / 大陸
Week 1,doc,noun,醫生 / 醫師
Week 1,dopey,adjective,呆呆的 / 笨笨的 / 昏昏欲睡的 / 遲鈍的 / 呆呆的、笨笨的 / 昏昏欲睡的、遲鈍的
Week 1,guideline,noun,準則 / 指引 / 規範 / 引導線 / 基準線
Week 2,gunfight,noun,槍戰 / 駁火
Week 2,headrest,noun,頭枕 / 頭靠 / 靠頭枕
Week 2,nineteenth-century,adjective,十九世紀的 / 十九世紀風格的 / 十九世紀時期的
Week 2,northern,adjective,北方的 / 北部的 / 北面的
Week 2,parlor,noun,客廳 / 會客室 / 店鋪 / 營業店面
Week 2,radius,noun,半徑 / 橈骨
Week 2,reception,noun,接待處 / 櫃台 / 接待 / 歡迎會 / 招待會 / 反應 / 評價 / 收訊 / 接收能力 / 接待處 / 櫃台 / 歡迎會 / 招待會 / 反應 / 評價
Week 3,resentful,adjective,憤恨的 / 心懷不滿的 / 怨恨的 / 忿忿不平的
Week 3,semester,noun,學期 / 上學期 / 下學期
Week 3,sophomore,noun,二年級生 / 高中二年級生 / 大學二年級生 / 自以為懂很多但其實幼稚的人
Week 3,southern,adjective,南方的 / 南部的 / 南面的
Week 3,transit,noun,運輸 / 運送 / 中轉 / 過境 / 通行 / 大眾運輸系統 / 運輸 / 運送 / 中轉 / 過境 / 通行
Week 3,beer,noun,啤酒 / 生啤酒 / 黑啤酒
Week 3,mediate,verb,調解 / 居中協調 / 斡旋 / 作為中介 / 居間傳遞／間接造成
Week 4,mediation,noun,調解 / 調停 / 居中協調
Week 4,mediator,noun,調解人 / 調停者 / 中間人
Week 4,otherwise,adverb,否則 / 不然 / 除此之外 / 在其他方面 / 用別的方式 / 否則 / 不然 / 除此之外 / 在其他方面 / 用別的方式 / 不同地
Week 4,payoff,noun,回報 / 報酬 / 成果 / 結果 / 結局 / 賄賂 / 封口費 / 回報 / 報酬 / 成果 / 結果 / 結局 / 賄賂 / 封口費
Week 4,tarot,noun,塔羅牌 / 塔羅占卜 / 塔羅解讀 / 塔羅占卜／塔羅解讀
Week 4,agitation,noun,焦躁不安 / 激動不安 / 不安 / 攪動 / 振盪 / 焦躁不安、激動不安 / 攪動、振盪
Week 4,automatically,adverb,自動地 / 自動 / 不由自主地 / 自然而然地
Week 5,cowboy,noun,牛仔 / 牧牛人 / 莽撞的人 / 胡來的人 / 不按規矩做事的人
Week 5,fester,verb,化膿 / 潰爛 / 惡化 / 積壓惡化
Week 5,undertone,noun,潛在意味 / 弦外之音 / 暗含的情緒 / 低沉的聲音 / 低聲 / 底色／隱約色調
Week 5,uplift,verb,鼓舞 / 振奮 / 激勵 / 提升 / 抬高 / 舉起 / 鼓舞 / 振奮 / 激勵 / 提升 / 抬高 / 舉起
Week 5,amend,verb,修正 / 修改 / 修訂 / 訂正 / 修正 / 修改
Week 5,banjo,noun,班卓琴
Week 5,bizarre,adjective,古怪的 / 離奇的 / 怪異的 / 詭異的
Week 6,douse,verb,潑濕 / 潑灑 / 澆濕 / 澆熄 / 撲滅 / 潑濕 / 澆濕 / 澆熄 / 撲滅
Week 6,duffel,noun,粗呢布 / 圓筒旅行袋 / 行軍袋 / 運動袋
Week 6,electrode,noun,電極 / 電極片
Week 6,err,verb,犯錯 / 出錯 / 弄錯 / 判斷錯誤
Week 6,joystick,noun,搖桿 / 操縱桿
Week 6,peninsula,noun,半島
Week 6,popcorn,noun,爆米花 / 爆米花娛樂 / 商業娛樂片
Week 7,protein,noun,蛋白質
Week 7,snowboarder,noun,單板滑雪者 / 玩單板滑雪的人 / 滑雪板玩家
Week 7,tiredness,noun,疲倦 / 疲勞 / 倦意
Week 7,tsk-tsk,interjection,嘖嘖 / 嘖 / 嘖嘖稱怪／發出嘖聲
Week 7,unclear,adjective,不清楚的 / 不明確的 / 模糊的 / 含糊的 / 不明朗的
Week 7,unpack,verb,打開行李整理 / 從行李中拿出來 / 拆開 / 詳細說明 / 拆解說明 / 剖析
Week 7,admittance,noun,進入許可 / 進入權 / 准許進入 / 入場 / 入內 / 禁止入內
Week 8,baptize,verb,為……施洗 / 為……施浸 / 受洗 / 命名 / 正式啟用 / 施洗、施浸 / 命名、正式啟用
Week 8,catholic,adjective,天主教的 / 普遍的 / 廣泛的 / 包羅萬象的 / 普遍的 / 廣泛的
Week 8,consistently,adverb,持續地 / 一貫地 / 穩定地 / 始終如一地
Week 8,controversial,adjective,有爭議的 / 具爭議性的 / 爭議很大的
Week 8,endorsement,noun,支持 / 背書 / 認可 / 代言 / 背書簽名 / 簽註
